# Insolation,Ambient Temperature,Module temperature,WindVel,Month,Day,Hour,Minute
0.1200,23.9300,23.5300,1.9400,1,1,0,0
0.0900,23.8275,23.4125,1.8525,1,1,0,15
0.0600,23.7250,23.2950,1.7650,1,1,0,30
0.0300,23.6225,23.1775,1.6775,1,1,0,45
0.0000,23.5200,23.0600,1.5900,1,1,1,0
0.0000,23.4325,22.9700,1.6375,1,1,1,15
0.0000,23.3450,22.8800,1.6850,1,1,1,30
0.0000,23.2575,22.7900,1.7325,1,1,1,45
0.0000,23.1700,22.7000,1.7800,1,1,2,0
0.0000,23.0875,22.6200,1.6850,1,1,2,15
0.0000,23.0050,22.5400,1.5900,1,1,2,30
0.0000,22.9225,22.4600,1.4950,1,1,2,45
0.0000,22.8400,22.3800,1.4000,1,1,3,0
0.0000,22.7975,22.3350,1.4525,1,1,3,15
0.0000,22.7550,22.2900,1.5050,1,1,3,30
0.0000,22.7125,22.2450,1.5575,1,1,3,45
0.0000,22.6700,22.2000,1.6100,1,1,4,0
0.0000,22.5175,22.0625,1.5800,1,1,4,15
0.0000,22.3650,21.9250,1.5500,1,1,4,30
0.0000,22.2125,21.7875,1.5200,1,1,4,45
0.0000,22.0600,21.6500,1.4900,1,1,5,0
0.0000,22.1625,21.7175,1.6150,1,1,5,15
0.0000,22.2650,21.7850,1.7400,1,1,5,30
0.0000,22.3675,21.8525,1.8650,1,1,5,45
0.0000,22.4700,21.9200,1.9900,1,1,6,0
0.0000,22.7450,22.1650,1.9500,1,1,6,15
0.0000,23.0200,22.4100,1.9100,1,1,6,30
0.0000,23.2950,22.6550,1.8700,1,1,6,45
0.0000,23.5700,22.9000,1.8300,1,1,7,0
2.7000,23.7400,23.0650,1.5725,1,1,7,15
5.4000,23.9100,23.2300,1.3150,1,1,7,30
8.1000,24.0800,23.3950,1.0575,1,1,7,45
10.8000,24.2500,23.5600,0.8000,1,1,8,0
18.0250,24.7600,24.0325,0.7050,1,1,8,15
25.2500,25.2700,24.5050,0.6100,1,1,8,30
32.4750,25.7800,24.9775,0.5150,1,1,8,45
39.7000,26.2900,25.4500,0.4200,1,1,9,0
45.6850,26.6425,25.8200,0.3225,1,1,9,15
51.6700,26.9950,26.1900,0.2250,1,1,9,30
57.6550,27.3475,26.5600,0.1275,1,1,9,45
63.6400,27.7000,26.9300,0.0300,1,1,10,0
70.7175,28.1900,27.3725,0.0525,1,1,10,15
77.7950,28.6800,27.8150,0.0750,1,1,10,30
84.8725,29.1700,28.2575,0.0975,1,1,10,45
91.9500,29.6600,28.7000,0.1200,1,1,11,0
100.0025,30.1525,29.1550,0.3125,1,1,11,15
108.0550,30.6450,29.6100,0.5050,1,1,11,30
116.1075,31.1375,30.0650,0.6975,1,1,11,45
124.1600,31.6300,30.5200,0.8900,1,1,12,0
126.0200,32.0400,30.8825,0.7000,1,1,12,15
127.8800,32.4500,31.2450,0.5100,1,1,12,30
129.7400,32.8600,31.6075,0.3200,1,1,12,45
131.6000,33.2700,31.9700,0.1300,1,1,13,0
130.9425,33.3225,32.1450,0.1125,1,1,13,15
130.2850,33.3750,32.3200,0.0950,1,1,13,30
129.6275,33.4275,32.4950,0.0775,1,1,13,45
128.9700,33.4800,32.6700,0.0600,1,1,14,0
115.1475,33.3250,32.6475,0.0475,1,1,14,15
101.3250,33.1700,32.6250,0.0350,1,1,14,30
87.5025,33.0150,32.6025,0.0225,1,1,14,45
73.6800,32.8600,32.5800,0.0100,1,1,15,0
59.1475,32.3875,32.0400,0.0075,1,1,15,15
44.6150,31.9150,31.5000,0.0050,1,1,15,30
30.0825,31.4425,30.9600,0.0025,1,1,15,45
15.5500,30.9700,30.4200,0.0000,1,1,16,0
11.6725,30.5900,30.0375,0.0000,1,1,16,15
7.7950,30.2100,29.6550,0.0000,1,1,16,30
3.9175,29.8300,29.2725,0.0000,1,1,16,45
